,source,dest,weight
0,000725697278,9bae9cdf01e6,4
1,00238fee2b4c,12007f07fca5,1
2,00238fee2b4c,3eedbbb6b0d7,7
3,00238fee2b4c,418001574db2,1
4,00238fee2b4c,5876cdb8b0da,2
5,00238fee2b4c,af7707c5ea70,1
6,00238fee2b4c,dd9aeb023009,1
7,00238fee2b4c,e25ecda54a75,1
8,00238fee2b4c,e3e18f8d188c,1
9,004cdd85f55a,6ad700bedd83,1
10,004cdd85f55a,72e3ef7c52cb,1
11,004cdd85f55a,b8a3a094fb6d,1
12,00c08d89fea3,013c5936f294,1
13,00c08d89fea3,5e8a21ead848,1
14,00e005b31402,487bf8e1a4f1,1
15,00e005b31402,9820b6566612,2
16,00e2c609b433,033f42d8a29e,6
17,00e2c609b433,213f6505c6c2,1
18,00e2c609b433,5e8a21ead848,2
19,00e2c609b433,817944c9c685,3
20,00e2c609b433,d0c9e369bee2,28
21,00e2c609b433,d15eff82084c,4
22,010e171b58be,301b928b2a48,1
23,010e171b58be,386870509dc7,1
24,010e171b58be,3cb5dde9e392,3
25,012d3b018a1c,260d66f31596,2
26,012d3b018a1c,5a96962eec8e,1
27,012d3b018a1c,8db8db7b9b42,1
28,012d3b018a1c,8e1f192fe25a,1
29,012d3b018a1c,c2816cd4c92c,1
30,012d3b018a1c,ca0ac34440ba,1
31,012d3b018a1c,fc6657f0747d,1
32,0192f0f7cc19,3f7d91959faa,1
33,01a0123885eb,2120ea176dd1,1
34,01a0123885eb,281d362c97c7,1
35,01a0123885eb,907bdcbc11fe,1
36,020d5ea1a53e,4e49df6a512b,1
37,020d5ea1a53e,518181f12789,1
38,020d5ea1a53e,798ddaf4f9cb,1
39,020d5ea1a53e,f01bdab01dbc,1
40,022284656eda,e64efe746702,1
41,02ef16a6c394,0c957eac7ed9,1
42,02ef16a6c394,b22af9413749,1
43,0320528adcce,24c988b91198,1
44,0320528adcce,74350d2c2d26,1
45,0320528adcce,9160bec81d69,1
46,0320528adcce,c6bf1113e45c,1
47,033f42d8a29e,00c08d89fea3,4
48,033f42d8a29e,00e2c609b433,7
49,033f42d8a29e,213f6505c6c2,2
50,033f42d8a29e,35444bace328,1
51,033f42d8a29e,5ef28cdc5b39,1
52,033f42d8a29e,817944c9c685,1
53,033f42d8a29e,d0c9e369bee2,2
54,033f42d8a29e,d15eff82084c,6
55,033f42d8a29e,e7f10ccd4852,2
56,033f42d8a29e,ecc4ba55675b,2
57,0345fe1ba399,fcd4fd0b9791,1
58,039c20eb5f8b,0622caefe523,3
59,039c20eb5f8b,085b2a38876e,7
60,039c20eb5f8b,11c9978abd32,8
61,039c20eb5f8b,174276bb19cc,3
62,039c20eb5f8b,1a6b8d0b17c1,1
63,039c20eb5f8b,88d1b784dd23,1
64,039c20eb5f8b,a42e815c58f3,9
65,039c20eb5f8b,a6be835812fa,2
66,039c20eb5f8b,ad508fd81a92,1
67,039c20eb5f8b,c2ab60ea3e17,1
68,039c20eb5f8b,d5fdcbf8546d,1
69,0400a268c465,d109237f6e57,3
70,04150f2d5883,386870509dc7,1
71,04150f2d5883,57d117317719,1
72,04150f2d5883,65cb10cc4e49,1
73,042a78c14bb4,6c1ec2ad4dff,1
74,04426339e55d,432fc7b6119c,1
75,04426339e55d,56064aa38f88,1
76,04426339e55d,609de8094345,2
77,04426339e55d,78168d2921f8,1
78,04426339e55d,ae9dd7c4d1d6,1
79,04426339e55d,d511b5d46902,1
80,04426339e55d,dd9aeb023009,1
81,04426339e55d,e4ed4d14170e,1
82,04bd4bb8b787,56a759db2be4,1
83,04bd4bb8b787,83a070f898a5,1
84,04bd4bb8b787,88198827bccc,1
85,04bf2867f7e7,0632dc7a43b1,1
86,04bf2867f7e7,10534d4e7a9b,3
87,04bf2867f7e7,1813d3440861,1
88,04bf2867f7e7,23e5ea1e37f7,2
89,04bf2867f7e7,2521ef9e54ff,1
90,04bf2867f7e7,34d46bd57a61,1
91,04bf2867f7e7,4374c519fb76,2
92,04bf2867f7e7,47b19f8bd140,1
93,04bf2867f7e7,48090555853d,1
94,04bf2867f7e7,91b8ade6fa60,2
95,04bf2867f7e7,b68c4830cc9e,2
96,04bf2867f7e7,cfa861ad68d5,3
97,04c0932aaa6c,0d4f8c132a83,1
98,04c0932aaa6c,ed6dea48048c,1
99,04c79f17d42b,30eec89ddd9c,1
100,0604cd3138fe,5344c4110f48,5
101,0604cd3138fe,7182dd431b5c,4
102,0604cd3138fe,b2cc86ae48fd,5
103,0604cd3138fe,c2ab60ea3e17,14
104,0622caefe523,085b2a38876e,7
105,0622caefe523,11c9978abd32,2
106,0622caefe523,3b8321fe7f0e,1
107,0622caefe523,88d1b784dd23,1
108,0622caefe523,9b46e28a085a,1
109,0622caefe523,9ed614721c31,1
110,0622caefe523,a42e815c58f3,16
111,0622caefe523,a6be835812fa,7
112,0622caefe523,b659b0bc6172,1
113,0622caefe523,c7e17652d255,1
114,0622caefe523,fe9867174ca9,1
115,0632dc7a43b1,04bf2867f7e7,4
116,0632dc7a43b1,10534d4e7a9b,5
117,0632dc7a43b1,1813d3440861,3
118,0632dc7a43b1,2521ef9e54ff,1
119,0632dc7a43b1,34d46bd57a61,1
120,0632dc7a43b1,399bf708025f,1
121,0632dc7a43b1,49a2c59db906,1
122,0632dc7a43b1,6864a5cf8519,1
123,0632dc7a43b1,b68c4830cc9e,2
124,0632dc7a43b1,cfa861ad68d5,1
125,065a576c230e,c3867352aab6,1
126,06f6cc456bb1,12007f07fca5,1
127,06f6cc456bb1,174276bb19cc,1
128,06f6cc456bb1,2ecfd589ba4a,1
129,06f6cc456bb1,85724d7fe46b,1
130,06f6cc456bb1,8c3a72f9f814,2
131,06f6cc456bb1,91827d504e2e,2
132,06f6cc456bb1,aee336a1d75a,1
133,06f6cc456bb1,b65d4ccbd731,1
134,06f6cc456bb1,f231cb2af995,1
135,06f6cc456bb1,fa0cb0b93e1b,1
136,0706a96a82ba,4bbcec8e8147,1
137,085b2a38876e,039c20eb5f8b,6
138,085b2a38876e,0622caefe523,3
139,085b2a38876e,11c9978abd32,5
140,085b2a38876e,174276bb19cc,2
141,085b2a38876e,37497c2c7134,1
142,085b2a38876e,3b8321fe7f0e,1
143,085b2a38876e,52b403a5afce,4
144,085b2a38876e,549a2fac47d7,2
145,085b2a38876e,a42e815c58f3,43
146,085b2a38876e,a6be835812fa,5
147,085b2a38876e,b37bb790714e,1
148,085b2a38876e,c2ab60ea3e17,2
149,085b2a38876e,d5fdcbf8546d,1
150,085b2a38876e,dba8d675d13a,1
151,085b2a38876e,e969edf3b34e,1
152,085b2a38876e,fecb203bd177,1
153,087741e65b10,4bbcec8e8147,1
154,0886327340b1,1ff1f0a2e164,2
155,0886327340b1,5f1fe1c69d9c,2
156,0886327340b1,8f9513f7e773,1
157,0886327340b1,bedc725da6f5,19
158,0886327340b1,c2816cd4c92c,1
159,0892c6a7aab4,ae43b81d5073,1
160,0925b6de7ba8,34a221bb96e2,2
161,0970cc3beac8,2dacf50307a2,2
162,0970cc3beac8,466e34f3a4b3,1
163,0970cc3beac8,4d5ed6fbbcd3,3
164,0970cc3beac8,5309619d5958,2
165,0970cc3beac8,5c64a76f031b,2
166,0970cc3beac8,7121c17f02e3,3
167,0970cc3beac8,e6f04561c7ee,1
168,0970cc3beac8,fdb5d0d7ade5,7
169,09b8329bd8e8,928c88cd245c,1
170,09b8329bd8e8,e3a1cb6c45cd,1
171,0a46fa622c55,0e3803a9c736,1
172,0a46fa622c55,5f9e3d4a0fa6,1
173,0a46fa622c55,63803285b8e1,1
174,0a572528c695,0e8cfbcc6331,1
175,0ae1f16981b6,4f84c9c3ddea,1
176,0ae1f16981b6,57f964dd22f3,4
177,0ae1f16981b6,6c10b76d1675,1
178,0ae1f16981b6,8a1d282fbc62,1
179,0ae1f16981b6,8d21f0e45431,1
180,0ae1f16981b6,936bef1fb49d,4
181,0ae1f16981b6,b10fd0da0efc,2
182,0ae1f16981b6,e41035773590,1
183,0b35b06a2277,8c8bf323b8b0,1
184,0b3baf54fa37,d8fa9bccaa12,1
185,0b59f34f597a,30eec89ddd9c,1
186,0b59f34f597a,c7ce483fd1cc,1
187,0b7c17df5c93,2411bc00212d,7
188,0b7c17df5c93,2a96810f857c,1
189,0b7c17df5c93,9ed614721c31,1
