,source,dest,weight
0,000725697278,9bae9cdf01e6,2
1,00238fee2b4c,0d0044cacda0,1
2,00238fee2b4c,0d9a5484f79e,1
3,00238fee2b4c,3e6ea6702421,1
4,00238fee2b4c,3eedbbb6b0d7,3
5,00238fee2b4c,418001574db2,1
6,00238fee2b4c,665e392864c3,1
7,00238fee2b4c,af7707c5ea70,4
8,00238fee2b4c,b6a55cb253eb,1
9,00238fee2b4c,d511b5d46902,1
10,00238fee2b4c,d6d8fb976838,1
11,00238fee2b4c,e8e65b695662,1
12,004cdd85f55a,19c91ccab2d7,1
13,004cdd85f55a,48c91416b553,1
14,004cdd85f55a,7b2e5942e205,1
15,004cdd85f55a,ffdc094ea6d4,1
16,00ad7e2e78ec,39e5b4830d4d,1
17,00ad7e2e78ec,688d8763a23f,1
18,00c08d89fea3,0d8b669dcf9d,1
19,00c08d89fea3,194409ffe6a5,1
20,00c08d89fea3,19f97769ca89,1
21,00c08d89fea3,213f6505c6c2,2
22,00c08d89fea3,41fd8bb687b8,1
23,00c08d89fea3,58f93c9b846d,1
24,00c08d89fea3,5e8a21ead848,1
25,00c08d89fea3,687b0d44610f,1
26,00c08d89fea3,6a3c33a09bee,1
27,00c08d89fea3,af478e5f329e,1
28,00c08d89fea3,bf9e705d0081,1
29,00c08d89fea3,d0c9e369bee2,7
30,00e005b31402,68e4188549d4,1
31,00e005b31402,f0143c0f7af3,2
32,00e2c609b433,00238fee2b4c,1
33,00e2c609b433,00c08d89fea3,2
34,00e2c609b433,033f42d8a29e,3
35,00e2c609b433,0d9a5484f79e,2
36,00e2c609b433,116a45daf8aa,1
37,00e2c609b433,184eb9d5f7fd,1
38,00e2c609b433,19f97769ca89,1
39,00e2c609b433,1c40b7658984,1
40,00e2c609b433,213f6505c6c2,10
41,00e2c609b433,231c40e62014,1
42,00e2c609b433,2e57ab2001f6,1
43,00e2c609b433,35a6c93873ac,2
44,00e2c609b433,395e09e946b0,2
45,00e2c609b433,3cb5588f8763,1
46,00e2c609b433,4860fb4eca2b,1
47,00e2c609b433,54e8c1fe7150,1
48,00e2c609b433,5e8a21ead848,3
49,00e2c609b433,61ebc0c467ee,1
50,00e2c609b433,64cd896af0df,1
51,00e2c609b433,6b25fee98c05,1
52,00e2c609b433,817944c9c685,5
53,00e2c609b433,872665d2d4a0,1
54,00e2c609b433,ae92ca1ecdbf,2
55,00e2c609b433,bc7773ef3acb,1
56,00e2c609b433,bcce03f625c2,2
57,00e2c609b433,c94bd2c3aa6c,1
58,00e2c609b433,d0c9e369bee2,6
59,00e2c609b433,d15eff82084c,2
60,00e2c609b433,d88439bd85ec,1
61,00e2c609b433,d8d851022fbb,1
62,00e2c609b433,dd94c511abc3,1
63,00e2c609b433,e7f10ccd4852,1
64,00e2c609b433,e922a9e73b66,1
65,00e2c609b433,ecc4ba55675b,2
66,00e2c609b433,fd4d18552b5b,2
67,010623832618,94bb4bd3b73a,1
68,010e171b58be,110e600290fd,1
69,010e171b58be,af956f342c1c,1
70,012d3b018a1c,0c49468f854e,1
71,012d3b018a1c,1f497cde557c,1
72,012d3b018a1c,260d66f31596,1
73,012d3b018a1c,2ecfd589ba4a,1
74,012d3b018a1c,48ae093b8fec,1
75,012d3b018a1c,5a96962eec8e,1
76,012d3b018a1c,61bb27d39843,1
77,012d3b018a1c,63889351c5e1,1
78,012d3b018a1c,7d802a5c57e7,1
79,012d3b018a1c,d02d2d6e437b,1
80,012d3b018a1c,e02d97fbe3b7,4
81,012d3b018a1c,f869fefc282b,1
82,0192f0f7cc19,07694e757e99,1
83,0192f0f7cc19,42bfe80fd854,1
84,0192f0f7cc19,54adb0945bc8,1
85,0192f0f7cc19,62c488bbaded,1
86,0192f0f7cc19,7243ae377c21,1
87,0192f0f7cc19,793de180d506,1
88,0192f0f7cc19,a954dd148bce,1
89,0193d52e5b14,e8bd7957a6e9,1
90,01a0123885eb,0c957eac7ed9,1
91,01a0123885eb,54e8c1fe7150,1
92,01a0123885eb,66a7a5807c31,1
93,01a0123885eb,6bcaea988250,1
94,01a0123885eb,7d17cf0b2ec8,1
95,01a0123885eb,9a4a675dbeb6,1
96,01a0123885eb,b6afb7afe424,2
97,01a0123885eb,cccfc2377e10,1
98,01a0123885eb,f53d104a0391,1
99,01ee1fa3f6f6,23e5ea1e37f7,1
100,01ee1fa3f6f6,34d46bd57a61,1
101,01ee1fa3f6f6,b68c4830cc9e,2
102,020d5ea1a53e,1f1708e153fd,1
103,020d5ea1a53e,268de994ffff,1
104,020d5ea1a53e,2f30ec3c0bf3,2
105,020d5ea1a53e,3b8a97e5d597,2
106,020d5ea1a53e,600e5730eb50,2
107,020d5ea1a53e,6a3bc2a7df56,1
108,020d5ea1a53e,7529596f2fed,1
109,020d5ea1a53e,798ddaf4f9cb,6
110,020d5ea1a53e,8ba5ef4e282b,1
111,020d5ea1a53e,c9eb29fe21b7,6
112,020d5ea1a53e,d182b2e2a818,1
113,020d5ea1a53e,e920f60d11b5,1
114,020d5ea1a53e,ec28638a4180,1
115,023a5d902d01,e1fee01ee26d,1
116,025b715449fe,29eca57d2b89,2
117,025b715449fe,57fe59894c61,1
118,025b715449fe,9e67a4751728,2
119,025b715449fe,a4b6a6e952de,1
120,025b715449fe,b46ebd04f531,1
121,025b715449fe,bbb959eb0800,2
122,0287240ca63d,137ea7d0d28a,1
123,02ef16a6c394,476d2c8a91fa,1
124,02ef16a6c394,72d9dd541c4f,1
125,02ef16a6c394,74ae3cb7f692,1
126,02ef16a6c394,b92ee2af0e07,1
127,02ef16a6c394,c71b6b1b32c8,1
128,02ef16a6c394,cec09b6f87a7,1
129,02ef16a6c394,d943da81dc4e,1
130,02ef16a6c394,fecb203bd177,1
131,02ef16a6c394,ffdc094ea6d4,1
132,0319f714167d,240b560f8226,1
133,0319f714167d,3cb694aa163e,1
134,0319f714167d,3f7d91959faa,1
135,0319f714167d,c58a755918d6,1
136,0320528adcce,13124c098d9a,1
137,0320528adcce,303e652fb5d5,1
138,0320528adcce,36c1cc2f9d70,1
139,0320528adcce,466aeceddec4,1
140,0320528adcce,512980bc62c1,2
141,0320528adcce,557f5337d3e6,1
142,0320528adcce,5face91e081a,1
