,source,dest,weight
0,000725697278,9bae9cdf01e6,11
1,0020a5f0369e,7114a0882e5d,1
2,00238fee2b4c,263522fa2776,1
3,00238fee2b4c,3eedbbb6b0d7,2
4,00238fee2b4c,418001574db2,3
5,00238fee2b4c,af7707c5ea70,4
6,004cdd85f55a,42bfe80fd854,1
7,004cdd85f55a,6b25fee98c05,1
8,00ad7e2e78ec,dd19891832ea,1
9,00c08d89fea3,00e2c609b433,4
10,00c08d89fea3,013c5936f294,12
11,00c08d89fea3,033f42d8a29e,1
12,00c08d89fea3,0892c6a7aab4,1
13,00c08d89fea3,1b21182d31e4,1
14,00c08d89fea3,d0c9e369bee2,18
15,00c08d89fea3,d15eff82084c,1
16,00c08d89fea3,e7f10ccd4852,3
17,00cc489974e2,a548d201d69c,2
18,00e005b31402,51f380012e3d,1
19,00e005b31402,9815d856f72a,1
20,00e2c609b433,00c08d89fea3,3
21,00e2c609b433,033f42d8a29e,1
22,00e2c609b433,0d9a5484f79e,1
23,00e2c609b433,19f97769ca89,1
24,00e2c609b433,213f6505c6c2,26
25,00e2c609b433,2669177e036f,1
26,00e2c609b433,34a221bb96e2,1
27,00e2c609b433,35444bace328,4
28,00e2c609b433,35a6c93873ac,1
29,00e2c609b433,37b7d328d51f,1
30,00e2c609b433,395e09e946b0,2
31,00e2c609b433,4b1933c52832,1
32,00e2c609b433,5e8a21ead848,2
33,00e2c609b433,721cf4af683f,1
34,00e2c609b433,817944c9c685,6
35,00e2c609b433,97a6d21df7c5,1
36,00e2c609b433,b92ee2af0e07,1
37,00e2c609b433,b95ca3eac805,1
38,00e2c609b433,cba1aeb7a72d,1
39,00e2c609b433,d0c9e369bee2,29
40,00e2c609b433,d15eff82084c,8
41,00e2c609b433,e7f10ccd4852,14
42,00e2c609b433,ecc4ba55675b,7
43,010e171b58be,110e600290fd,1
44,010e171b58be,3cb5dde9e392,3
45,010e171b58be,d04adebdef02,1
46,012d3b018a1c,0e3803a9c736,2
47,012d3b018a1c,260d66f31596,2
48,012d3b018a1c,2dacf50307a2,1
49,012d3b018a1c,3e6ea6702421,1
50,012d3b018a1c,483aab8b1f38,1
51,012d3b018a1c,487bf8e1a4f1,1
52,012d3b018a1c,7121c17f02e3,1
53,012d3b018a1c,7243ae377c21,1
54,012d3b018a1c,78168d2921f8,1
55,012d3b018a1c,7c62d5d4b438,1
56,012d3b018a1c,7d802a5c57e7,1
57,012d3b018a1c,b175a0050290,1
58,013c5936f294,00e2c609b433,2
59,013c5936f294,1b21182d31e4,3
60,013c5936f294,213f6505c6c2,1
