,source,dest,weight
0,d6d824abba4a,bd6b400c9607,1
1,d6d824abba4a,8789c510828e,2
2,d6d824abba4a,970ce027b705,1
3,d6d824abba4a,c56f47c52908,2
4,d6d824abba4a,6d8baaaff9a8,1
5,d6d824abba4a,9488401a6b5c,3
6,d6d824abba4a,4bbcec8e8147,1
7,64c212df34c6,c70533336290,2
8,64c212df34c6,95a9d432d043,1
9,64c212df34c6,3fd60c25b7fc,1
10,549a2fac47d7,b3a8e0e1f9ab,289
11,549a2fac47d7,a42e815c58f3,91
12,549a2fac47d7,cbd02d97b073,6
13,549a2fac47d7,f138665c5aa6,1
14,549a2fac47d7,0604cd3138fe,1
15,549a2fac47d7,5344c4110f48,1
16,549a2fac47d7,7182dd431b5c,11
17,549a2fac47d7,91a73fd806ab,5
18,549a2fac47d7,085b2a38876e,35
19,549a2fac47d7,5b4afb8d2ed6,3
20,549a2fac47d7,b2cc86ae48fd,120
21,549a2fac47d7,aee4848a8580,1
22,549a2fac47d7,b6316aa9a0bf,2
23,549a2fac47d7,c08a1a268495,5
24,549a2fac47d7,55f96e4d0df9,1
25,549a2fac47d7,557f5337d3e6,5
26,549a2fac47d7,303e652fb5d5,6
27,549a2fac47d7,3810958e93e8,8
28,549a2fac47d7,e8f4e8455a29,1
29,549a2fac47d7,6f177a3d23d6,2
30,549a2fac47d7,e8b4773f260d,1
31,549a2fac47d7,8e54c1a1f0c1,1
32,549a2fac47d7,1d6f777772c6,2
33,549a2fac47d7,d65c42f5766d,2
34,549a2fac47d7,73c173325e4f,2
35,549a2fac47d7,c28c7d9c611c,9
36,549a2fac47d7,c7e17652d255,2
37,549a2fac47d7,6d2d1507c165,4
38,549a2fac47d7,19f97769ca89,1
39,549a2fac47d7,2a13a24897aa,1
40,549a2fac47d7,4c4dc2eb93b1,2
41,549a2fac47d7,0320528adcce,2
42,549a2fac47d7,b659b0bc6172,1
43,549a2fac47d7,42783fb66764,1
44,549a2fac47d7,0d423ea809dc,1
45,549a2fac47d7,e21628bac344,1
46,549a2fac47d7,b103b4b46639,1
47,549a2fac47d7,3428b91ca879,1
48,549a2fac47d7,9a4a675dbeb6,1
49,549a2fac47d7,445553f40763,1
50,549a2fac47d7,e969edf3b34e,3
51,549a2fac47d7,52b403a5afce,1
52,549a2fac47d7,ed8b33038fc5,1
53,549a2fac47d7,cee51a537b73,1
54,549a2fac47d7,1a3c9e9512ea,1
55,549a2fac47d7,dba8d675d13a,1
56,549a2fac47d7,7cffec5b2779,1
57,549a2fac47d7,26e2a5ca39aa,1
58,549a2fac47d7,66d8d848ebc3,1
59,549a2fac47d7,b37bb790714e,5
60,549a2fac47d7,fecb203bd177,2
61,549a2fac47d7,900ec63917ba,8
62,549a2fac47d7,c9eb29fe21b7,1
63,549a2fac47d7,f6431a86c346,1
64,549a2fac47d7,27d4d45d06f9,1
65,549a2fac47d7,2ecda2b2aa5b,2
66,549a2fac47d7,d6f4653d7a3d,1
67,549a2fac47d7,2411bc00212d,1
68,549a2fac47d7,d5fdcbf8546d,12
69,549a2fac47d7,fe9867174ca9,11
70,549a2fac47d7,72af274646e1,1
71,549a2fac47d7,c310a8251638,15
72,549a2fac47d7,039c20eb5f8b,2
73,549a2fac47d7,24c988b91198,21
74,549a2fac47d7,11c9978abd32,25
75,549a2fac47d7,0622caefe523,2
76,549a2fac47d7,9ed614721c31,68
77,549a2fac47d7,88d1b784dd23,76
78,549a2fac47d7,8cb4e2e95bef,3
79,549a2fac47d7,71d8d9487a9d,8
80,549a2fac47d7,5fa6388d5e22,130
81,549a2fac47d7,9cdfc7ef3e24,1
82,549a2fac47d7,c8e3e02a93a9,2
83,549a2fac47d7,9b46e28a085a,3
84,549a2fac47d7,174276bb19cc,20
85,549a2fac47d7,a6be835812fa,2
86,549a2fac47d7,2dfe1893e251,3
87,549a2fac47d7,2559fc0f2cdc,7
88,549a2fac47d7,ba2d97232907,3
89,549a2fac47d7,3b8321fe7f0e,94
90,549a2fac47d7,37497c2c7134,6
91,549a2fac47d7,fcf15d230a8e,30
92,549a2fac47d7,c2ab60ea3e17,437
93,549a2fac47d7,19439c8fbdeb,3
94,549a2fac47d7,b0cb6fef5be0,30
95,549a2fac47d7,3c26647d844c,4
96,549a2fac47d7,b28a999c0fba,2
97,549a2fac47d7,ad508fd81a92,78
98,549a2fac47d7,bdc1b757e4d4,2
99,549a2fac47d7,a02a7093edbc,43
100,549a2fac47d7,fdd5ec817699,6
101,549a2fac47d7,43a3999cca5e,4
102,549a2fac47d7,5ff36bab1247,2
103,549a2fac47d7,338757053ba5,1
104,549a2fac47d7,e62117f7b8d2,1
105,549a2fac47d7,57f964dd22f3,3
106,549a2fac47d7,6c10b76d1675,1
107,549a2fac47d7,0ae1f16981b6,2
108,549a2fac47d7,f4b32629772f,2
109,549a2fac47d7,e41035773590,1
110,549a2fac47d7,c9b65aa4356d,3
111,549a2fac47d7,abec6bbe560b,4
112,549a2fac47d7,cda7fa77ee13,2
113,549a2fac47d7,fcd4fd0b9791,1
114,549a2fac47d7,e9472c2869e3,1
115,549a2fac47d7,8761a63e7923,1
116,549a2fac47d7,e29fe6324bfa,1
117,b3a8e0e1f9ab,549a2fac47d7,277
118,b3a8e0e1f9ab,a42e815c58f3,2
119,b3a8e0e1f9ab,91a73fd806ab,2
120,b3a8e0e1f9ab,085b2a38876e,3
121,b3a8e0e1f9ab,b2cc86ae48fd,4
122,b3a8e0e1f9ab,e8f4e8455a29,1
123,b3a8e0e1f9ab,c28c7d9c611c,1
124,b3a8e0e1f9ab,669d78cacaec,1
125,b3a8e0e1f9ab,ed4c3bf66563,1
126,b3a8e0e1f9ab,fe9867174ca9,1
127,b3a8e0e1f9ab,24c988b91198,2
128,b3a8e0e1f9ab,9ed614721c31,2
129,b3a8e0e1f9ab,88d1b784dd23,1
130,b3a8e0e1f9ab,18fb42c6b3e2,5
131,b3a8e0e1f9ab,2559fc0f2cdc,2
132,b3a8e0e1f9ab,ba2d97232907,2
133,b3a8e0e1f9ab,3b8321fe7f0e,1
134,b3a8e0e1f9ab,37497c2c7134,2
135,b3a8e0e1f9ab,fcf15d230a8e,1
136,b3a8e0e1f9ab,c2ab60ea3e17,7
137,b3a8e0e1f9ab,19439c8fbdeb,1
138,b3a8e0e1f9ab,3c26647d844c,2
139,b3a8e0e1f9ab,ad508fd81a92,2
140,b3a8e0e1f9ab,fdd5ec817699,2
141,b3a8e0e1f9ab,c9b65aa4356d,2
142,b3a8e0e1f9ab,abec6bbe560b,1
143,30eec89ddd9c,0b35b06a2277,1
144,30eec89ddd9c,bcce03f625c2,3
145,30eec89ddd9c,aecef364029f,1
146,30eec89ddd9c,8e1f192fe25a,1
147,30eec89ddd9c,bae9aa4081f8,1
148,30eec89ddd9c,9b21b03d9048,1
149,30eec89ddd9c,1c40b7658984,1
150,30eec89ddd9c,af0f1ad0d382,1
151,30eec89ddd9c,0886327340b1,1
152,30eec89ddd9c,1f497cde557c,2
153,30eec89ddd9c,6114169e6436,1
154,30eec89ddd9c,0d56ac2b602a,1
155,30eec89ddd9c,979ee4d48a6d,1
156,30eec89ddd9c,1863b0b035e5,1
157,30eec89ddd9c,c0bfc4af02d8,1
158,30eec89ddd9c,e8e65b695662,1
159,30eec89ddd9c,756e370e972c,1
160,30eec89ddd9c,69ae75e5fcda,1
