,source,dest,weight
0,00238fee2b4c,3eedbbb6b0d7,1
1,00238fee2b4c,418001574db2,1
2,00238fee2b4c,665e392864c3,1
3,00238fee2b4c,e8e65b695662,1
4,004cdd85f55a,19c91ccab2d7,1
5,004cdd85f55a,7b2e5942e205,1
6,004cdd85f55a,ffdc094ea6d4,1
7,00ad7e2e78ec,688d8763a23f,1
8,00c08d89fea3,194409ffe6a5,1
9,00c08d89fea3,213f6505c6c2,1
10,00c08d89fea3,58f93c9b846d,1
11,00c08d89fea3,687b0d44610f,1
12,00c08d89fea3,af478e5f329e,1
13,00c08d89fea3,bf9e705d0081,1
14,00c08d89fea3,d0c9e369bee2,7
15,00e005b31402,68e4188549d4,1
16,00e2c609b433,00238fee2b4c,1
17,00e2c609b433,00c08d89fea3,2
18,00e2c609b433,033f42d8a29e,1
19,00e2c609b433,0d9a5484f79e,1
20,00e2c609b433,19f97769ca89,1
21,00e2c609b433,1c40b7658984,1
22,00e2c609b433,213f6505c6c2,4
23,00e2c609b433,2e57ab2001f6,1
24,00e2c609b433,35a6c93873ac,1
25,00e2c609b433,3cb5588f8763,1
26,00e2c609b433,4860fb4eca2b,1
27,00e2c609b433,5e8a21ead848,1
28,00e2c609b433,ae92ca1ecdbf,2
29,00e2c609b433,bc7773ef3acb,1
30,00e2c609b433,d8d851022fbb,1
31,00e2c609b433,ecc4ba55675b,1
32,012d3b018a1c,0c49468f854e,1
33,012d3b018a1c,d02d2d6e437b,1
34,0192f0f7cc19,42bfe80fd854,1
35,0192f0f7cc19,62c488bbaded,1
36,020d5ea1a53e,268de994ffff,1
37,020d5ea1a53e,2f30ec3c0bf3,1
38,020d5ea1a53e,798ddaf4f9cb,3
39,020d5ea1a53e,c9eb29fe21b7,4
40,025b715449fe,29eca57d2b89,2
41,025b715449fe,57fe59894c61,1
42,0319f714167d,3cb694aa163e,1
43,0319f714167d,3f7d91959faa,1
44,0320528adcce,303e652fb5d5,1
45,0320528adcce,512980bc62c1,1
46,0320528adcce,557f5337d3e6,1
47,0320528adcce,5face91e081a,1
48,0320528adcce,7fb8baac6d4d,2
49,0320528adcce,900ec63917ba,2
50,0320528adcce,9ed614721c31,2
51,0320528adcce,a02a7093edbc,1
52,0320528adcce,b6316aa9a0bf,1
53,03214801f88d,b22af9413749,1
54,033f42d8a29e,00e2c609b433,2
55,033f42d8a29e,fd4d18552b5b,1
56,0345fe1ba399,557f5337d3e6,1
57,0346004123b6,88d1b784dd23,1
58,039c20eb5f8b,0622caefe523,1
59,039c20eb5f8b,085b2a38876e,3
60,039c20eb5f8b,11c9978abd32,1
61,039c20eb5f8b,1a6b8d0b17c1,1
62,039c20eb5f8b,24c988b91198,1
63,039c20eb5f8b,549a2fac47d7,2
64,039c20eb5f8b,a42e815c58f3,11
65,04150f2d5883,6c99cbaa2778,1
66,042a78c14bb4,4860fb4eca2b,1
67,04426339e55d,2e57ab2001f6,2
68,04426339e55d,62fb418140a7,1
69,04426339e55d,d6d8fb976838,2
70,04bd4bb8b787,4b1933c52832,1
71,04bd4bb8b787,e53004639f1c,1
72,04bf2867f7e7,10534d4e7a9b,2
73,04bf2867f7e7,1813d3440861,2
74,04bf2867f7e7,23e5ea1e37f7,2
75,04bf2867f7e7,49a2c59db906,5
76,04bf2867f7e7,57d117317719,1
77,04bf2867f7e7,6864a5cf8519,1
78,04bf2867f7e7,743e6166ee02,1
79,04bf2867f7e7,960d4024a41d,1
80,0604cd3138fe,5344c4110f48,1
81,0604cd3138fe,7182dd431b5c,4
82,0622caefe523,039c20eb5f8b,3
83,0622caefe523,085b2a38876e,3
84,0622caefe523,11c9978abd32,3
85,0622caefe523,a42e815c58f3,10
86,0622caefe523,a6be835812fa,3
87,0632dc7a43b1,08b5b23ea880,1
88,0632dc7a43b1,10534d4e7a9b,15
89,0632dc7a43b1,1c196870d209,1
90,0632dc7a43b1,38307094d613,3
91,0632dc7a43b1,47b19f8bd140,2
92,0632dc7a43b1,7e5a1e6babd8,1
93,0632dc7a43b1,c6ab41a0b97a,1
94,06954b8a7f8d,dccf69297579,1
