,source,dest,weight
0,000725697278,9bae9cdf01e6,5
1,00238fee2b4c,12007f07fca5,1
2,00238fee2b4c,25124cd5d752,1
3,00238fee2b4c,3eedbbb6b0d7,11
4,00238fee2b4c,418001574db2,5
5,00238fee2b4c,5876cdb8b0da,2
6,00238fee2b4c,6a0fd04b7779,2
7,00238fee2b4c,a3b17f727233,1
8,00238fee2b4c,af7707c5ea70,4
9,00238fee2b4c,b870082ba75d,1
10,00238fee2b4c,bcce03f625c2,2
11,00238fee2b4c,cf74ccd1faf1,2
12,00238fee2b4c,dd9aeb023009,1
13,00238fee2b4c,e25ecda54a75,1
14,00238fee2b4c,e3e18f8d188c,3
15,004cdd85f55a,0d9a5484f79e,2
16,004cdd85f55a,6ad700bedd83,1
17,004cdd85f55a,72e3ef7c52cb,1
18,004cdd85f55a,b8a3a094fb6d,1
19,004cdd85f55a,f6f855d3bfc3,1
20,00c08d89fea3,00e2c609b433,3
21,00c08d89fea3,013c5936f294,1
22,00c08d89fea3,033f42d8a29e,1
23,00c08d89fea3,5e8a21ead848,1
24,00c08d89fea3,817944c9c685,1
25,00c08d89fea3,d0c9e369bee2,2
26,00c08d89fea3,ecc4ba55675b,1
27,00e005b31402,487bf8e1a4f1,1
28,00e005b31402,9820b6566612,2
29,00e2c609b433,00c08d89fea3,2
30,00e2c609b433,033f42d8a29e,12
31,00e2c609b433,213f6505c6c2,8
32,00e2c609b433,35444bace328,8
33,00e2c609b433,3bd625f07792,1
34,00e2c609b433,5e8a21ead848,2
35,00e2c609b433,817944c9c685,5
36,00e2c609b433,ae92ca1ecdbf,1
37,00e2c609b433,cc4b353fbba9,1
38,00e2c609b433,d0c9e369bee2,32
39,00e2c609b433,d15eff82084c,15
40,00e2c609b433,e7f10ccd4852,2
41,00e2c609b433,ecc4ba55675b,1
42,010e171b58be,04426339e55d,1
43,010e171b58be,301b928b2a48,1
44,010e171b58be,386870509dc7,1
45,010e171b58be,3cb5dde9e392,3
46,010e171b58be,c3aab9310a31,3
47,012d3b018a1c,1f497cde557c,1
48,012d3b018a1c,260d66f31596,2
49,012d3b018a1c,2dacf50307a2,1
50,012d3b018a1c,5a96962eec8e,1
51,012d3b018a1c,8db8db7b9b42,1
52,012d3b018a1c,8e1f192fe25a,1
53,012d3b018a1c,c2816cd4c92c,1
54,012d3b018a1c,ca0ac34440ba,1
55,012d3b018a1c,e0688b1a2f32,1
56,012d3b018a1c,fc6657f0747d,1
57,0192f0f7cc19,3f7d91959faa,1
58,01a0123885eb,2120ea176dd1,1
59,01a0123885eb,281d362c97c7,1
60,01a0123885eb,66a7a5807c31,1
61,01a0123885eb,907bdcbc11fe,4
62,01a0123885eb,9a4a675dbeb6,1
63,01ee1fa3f6f6,c6ab41a0b97a,1
64,01ee1fa3f6f6,fa5e7e54261e,1
65,020d5ea1a53e,1f1708e153fd,2
66,020d5ea1a53e,2f30ec3c0bf3,2
67,020d5ea1a53e,4e49df6a512b,1
68,020d5ea1a53e,518181f12789,1
69,020d5ea1a53e,798ddaf4f9cb,4
70,020d5ea1a53e,c9eb29fe21b7,1
71,020d5ea1a53e,f01bdab01dbc,1
72,022284656eda,e64efe746702,1
73,02b375a0bd0e,940dab8a96bb,1
74,02ef16a6c394,0c957eac7ed9,1
75,02ef16a6c394,b22af9413749,1
76,02fb2dffd171,56cc405eb71a,1
77,0320528adcce,0d9a5484f79e,1
78,0320528adcce,24c988b91198,1
79,0320528adcce,74350d2c2d26,2
80,0320528adcce,9160bec81d69,1
81,0320528adcce,ae89ce58d543,1
82,0320528adcce,c6bf1113e45c,2
83,0320528adcce,e964bfee919e,1
84,0320528adcce,fe9867174ca9,3
85,033f42d8a29e,00c08d89fea3,4
86,033f42d8a29e,00e2c609b433,17
87,033f42d8a29e,213f6505c6c2,3
88,033f42d8a29e,35444bace328,1
89,033f42d8a29e,5ef28cdc5b39,1
90,033f42d8a29e,817944c9c685,1
91,033f42d8a29e,d0c9e369bee2,4
92,033f42d8a29e,d15eff82084c,12
93,033f42d8a29e,e7f10ccd4852,3
94,033f42d8a29e,ecc4ba55675b,5
95,0345fe1ba399,fcd4fd0b9791,1
96,039c20eb5f8b,0622caefe523,7
97,039c20eb5f8b,085b2a38876e,15
98,039c20eb5f8b,11c9978abd32,25
99,039c20eb5f8b,174276bb19cc,5
100,039c20eb5f8b,1a6b8d0b17c1,1
101,039c20eb5f8b,549a2fac47d7,3
102,039c20eb5f8b,5fa6388d5e22,2
103,039c20eb5f8b,88d1b784dd23,1
104,039c20eb5f8b,a42e815c58f3,49
105,039c20eb5f8b,a6be835812fa,7
106,039c20eb5f8b,ad508fd81a92,1
107,039c20eb5f8b,b2cc86ae48fd,1
108,039c20eb5f8b,c2ab60ea3e17,1
109,039c20eb5f8b,d5fdcbf8546d,1
110,0400a268c465,d109237f6e57,3
111,04150f2d5883,3802a8d0f0fd,1
112,04150f2d5883,386870509dc7,2
113,04150f2d5883,57d117317719,1
114,04150f2d5883,65cb10cc4e49,1
115,04150f2d5883,8617f3728f3c,1
116,04150f2d5883,e31aade2d1ae,1
117,042a78c14bb4,6c1ec2ad4dff,1
118,0431d3bd4125,8aaa550d7fa1,1
119,04426339e55d,1863b0b035e5,6
120,04426339e55d,281d362c97c7,1
121,04426339e55d,294cd5558aed,1
122,04426339e55d,432fc7b6119c,1
123,04426339e55d,56064aa38f88,1
124,04426339e55d,609de8094345,2
125,04426339e55d,78168d2921f8,1
126,04426339e55d,9a2d94742295,1
127,04426339e55d,a10710112d2e,1
128,04426339e55d,ae9dd7c4d1d6,1
129,04426339e55d,bcce03f625c2,1
130,04426339e55d,d42ed19c0d9c,3
131,04426339e55d,d511b5d46902,1
132,04426339e55d,d66518132f75,1
133,04426339e55d,dd9aeb023009,1
134,04426339e55d,e25ecda54a75,1
135,04426339e55d,e4ed4d14170e,1
136,04426339e55d,f169433b549d,1
137,04bd4bb8b787,1ade942a8448,1
138,04bd4bb8b787,544c2da37618,1
139,04bd4bb8b787,56a759db2be4,1
140,04bd4bb8b787,6a287a1078c0,1
141,04bd4bb8b787,83a070f898a5,1
142,04bd4bb8b787,88198827bccc,1
143,04bd4bb8b787,9c3a67317761,1
144,04bd4bb8b787,f3f3635203fd,1
145,04bf2867f7e7,0632dc7a43b1,1
146,04bf2867f7e7,10534d4e7a9b,4
147,04bf2867f7e7,1813d3440861,2
148,04bf2867f7e7,1c196870d209,1
149,04bf2867f7e7,23e5ea1e37f7,2
150,04bf2867f7e7,2521ef9e54ff,3
151,04bf2867f7e7,34d46bd57a61,2
152,04bf2867f7e7,4374c519fb76,2
153,04bf2867f7e7,47b19f8bd140,1
154,04bf2867f7e7,48090555853d,6
155,04bf2867f7e7,6f1f5bf42259,1
156,04bf2867f7e7,91b8ade6fa60,2
157,04bf2867f7e7,b68c4830cc9e,5
158,04bf2867f7e7,c6ab41a0b97a,1
159,04bf2867f7e7,cfa861ad68d5,3
160,04bf2867f7e7,fa5e7e54261e,1
161,04c0932aaa6c,0d4f8c132a83,1
162,04c0932aaa6c,ed6dea48048c,1
163,04c0932aaa6c,ffc9c7e426e5,1
164,04c79f17d42b,30eec89ddd9c,1
165,0572f0f48c9d,0e1a5a785140,1
166,05efc2642012,57de90e51be5,2
167,05efc2642012,5ad9fe378347,1
168,05efc2642012,83c9d6833ffb,1
169,0604cd3138fe,3b8321fe7f0e,2
170,0604cd3138fe,5344c4110f48,10
171,0604cd3138fe,549a2fac47d7,1
172,0604cd3138fe,7182dd431b5c,11
173,0604cd3138fe,b2cc86ae48fd,7
174,0604cd3138fe,c2ab60ea3e17,25
175,0622caefe523,039c20eb5f8b,6
176,0622caefe523,085b2a38876e,13
177,0622caefe523,11c9978abd32,21
178,0622caefe523,3b8321fe7f0e,1
179,0622caefe523,549a2fac47d7,1
180,0622caefe523,88d1b784dd23,1
181,0622caefe523,9b46e28a085a,1
182,0622caefe523,9ed614721c31,1
183,0622caefe523,a42e815c58f3,38
184,0622caefe523,a6be835812fa,14
185,0622caefe523,b659b0bc6172,1
186,0622caefe523,c2ab60ea3e17,1
187,0622caefe523,c7e17652d255,1
188,0622caefe523,fe9867174ca9,2
189,0632dc7a43b1,04bf2867f7e7,4
190,0632dc7a43b1,10534d4e7a9b,15
191,0632dc7a43b1,1813d3440861,3
192,0632dc7a43b1,23e5ea1e37f7,3
193,0632dc7a43b1,2521ef9e54ff,2
194,0632dc7a43b1,34d46bd57a61,1
195,0632dc7a43b1,399bf708025f,1
196,0632dc7a43b1,49a2c59db906,1
197,0632dc7a43b1,6864a5cf8519,1
198,0632dc7a43b1,6a802d54681c,1
199,0632dc7a43b1,6f1f5bf42259,1
200,0632dc7a43b1,b68c4830cc9e,2
201,0632dc7a43b1,cfa861ad68d5,1
202,0632dc7a43b1,fa5e7e54261e,2
