,source,dest,weight
0,00238fee2b4c,1ccb8d961c15,1
1,00238fee2b4c,2e57ab2001f6,1
2,00238fee2b4c,3eedbbb6b0d7,3
3,00238fee2b4c,418001574db2,1
4,00238fee2b4c,749ba437ddb7,1
5,00238fee2b4c,af7707c5ea70,3
6,00238fee2b4c,b870082ba75d,1
7,00238fee2b4c,e0688b1a2f32,1
8,00238fee2b4c,e25ecda54a75,1
9,004cdd85f55a,476d2c8a91fa,1
10,004cdd85f55a,b8a3a094fb6d,1
11,004cdd85f55a,bae73c074541,1
12,00c08d89fea3,00e2c609b433,3
13,00c08d89fea3,033f42d8a29e,1
14,00c08d89fea3,213f6505c6c2,1
15,00e2c609b433,00238fee2b4c,1
16,00e2c609b433,00c08d89fea3,1
17,00e2c609b433,033f42d8a29e,18
18,00e2c609b433,213f6505c6c2,17
19,00e2c609b433,277db1a67434,1
20,00e2c609b433,35444bace328,3
21,00e2c609b433,37b7d328d51f,1
22,00e2c609b433,5e8a21ead848,2
23,00e2c609b433,817944c9c685,1
24,00e2c609b433,d0c9e369bee2,10
25,00e2c609b433,d15eff82084c,5
26,00e2c609b433,e7f10ccd4852,2
27,00e2c609b433,ecc4ba55675b,2
28,010e171b58be,4132596292ae,2
29,010e171b58be,abcf0898f37c,1
30,012d3b018a1c,04426339e55d,1
31,012d3b018a1c,294cd5558aed,2
32,012d3b018a1c,749ba437ddb7,1
33,012d3b018a1c,8e1f192fe25a,1
34,012d3b018a1c,a62136c5d05e,1
35,012d3b018a1c,d511b5d46902,1
36,012d3b018a1c,d66518132f75,1
37,012d3b018a1c,e4e1f3095d35,2
38,0192f0f7cc19,327ae4d79f59,1
39,0192f0f7cc19,4a340903a906,2
40,0192f0f7cc19,c58a755918d6,1
41,01a0123885eb,1acc01f346b3,1
42,01a0123885eb,596d0c702ba6,1
43,01a0123885eb,6bcaea988250,1
44,01a0123885eb,8318c6586ef3,1
45,01ee1fa3f6f6,224365f62f68,1
46,01ee1fa3f6f6,34d46bd57a61,1
47,01ee1fa3f6f6,38307094d613,1
48,01ee1fa3f6f6,49b5b0231898,1
49,01ee1fa3f6f6,6864a5cf8519,1
50,01ee1fa3f6f6,b68c4830cc9e,5
51,01ee1fa3f6f6,da1cbef6ef23,1
52,020d5ea1a53e,1f1708e153fd,2
53,020d5ea1a53e,26a872e4a997,1
54,020d5ea1a53e,2f30ec3c0bf3,3
55,020d5ea1a53e,3b8a97e5d597,2
56,020d5ea1a53e,518181f12789,1
57,020d5ea1a53e,798ddaf4f9cb,9
58,020d5ea1a53e,a654e3581d9b,1
59,020d5ea1a53e,c9eb29fe21b7,1
60,020d5ea1a53e,d24459bdb4bd,1
