,PROPERTY_ID,PROPERTY_AREA_HECTARES,IS_CALIB
0,0886327340b1,8.077203943,1
1,44fdb1ed087f,1.246961627,1
2,d34272bcc35b,4.140323188,1
3,50a79d36411d,67.214898094,0
4,09b8329bd8e8,2.747730392,1
5,8fd133954063,8.020350441,1
6,979ee4d48a6d,15.776847279,1
7,8742da127856,0.4633458758,0
8,2222a11936d8,6.450949175,0
9,8762cf8a60b6,9.52561857,0
10,e83de2a50225,7.770027438,1
11,d8ec3903c81c,3.398050431,1
12,12b56c38d67a,6.416805632,1
13,d37dcec4a235,3.071931185,1
14,361619b32f78,12.705130837,0
15,7c508dc5b5da,7.493519305,1
16,25bff5d48a74,6.064148262,0
17,28635c660db4,5.191074909,1
18,ca953234a8b1,5.974284746,1
19,900ec63917ba,166.229730993,0
20,c2de8de25d44,3.164674771,1
21,73e2cab971d7,30.017045246,1
22,d206553aab2d,3.475365677,0
23,cb4802988b93,1.946171363,1
24,0ae1f16981b6,56.533506932,0
25,9cdfc7ef3e24,12.017629042,0
26,b1327221500a,2.193332663,0
27,a03ed5010bde,0.1216031044,0
28,779ed2265b01,3.949528024,1
29,3d34f102d170,64.419018463,0
30,9c37e7118d74,268.404969498,0
31,3783473fcce8,3.915305063,1
32,483aab8b1f38,9.400666164,1
33,30eec89ddd9c,12.592386752,1
34,6dbbf5bcfded,20.210697959,0
35,dd94c511abc3,5.538429016,1
36,805cc8c9d55d,5.398148252,0
37,e64efe746702,2.723603912,0
38,91827d504e2e,21.47320625,1
39,8ff40b10c09b,17.91165141,0
40,69d0b2d86e04,1.93329749,1
41,fc8601977fe3,12.036123327,0
42,38a033d379f4,60.671648751,0
43,f8764d062171,4.124741698,1
44,5a5901282f01,2.211273519,1
45,1fda00bb3e47,10.083068104,1
46,b1d705bf58a2,2.832433931,1
47,6b3bbb7b0e01,9.211966518,0
48,b531a2e37caf,2.723601479,1
49,d182b2e2a818,10.116729733,1
50,43e7e33be112,1.017767475,0
51,2ec1d8373835,155.280502421,0
52,8f998ce5e5d1,4.513045268,1
53,bdc1b757e4d4,6.3921964,0
54,a6be835812fa,7.596552305,0
55,6a0fd04b7779,15.293129274,1
56,a7091d75bf49,17.762839048,1
57,57f964dd22f3,21.568777428,0
58,b789f4e82d98,6.904083149,1
59,ac4f99de8c6a,4.609049164,1
60,020d5ea1a53e,5.32825762,1
61,b4452667d2e1,2.045388125,1
62,a40030d2c9a8,5.48653418,1
63,b15fa9ba90e4,8.488299975,0
64,c27423d664db,9.702781172,0
65,648da2ec8785,6.855343951,0
66,ffdc094ea6d4,18.195908064,1
67,15a968e2eaac,3.799529216,1
68,506479eeca61,7.497610569,1
69,2abc731467e6,5.218558112,0
70,31552e25b8d7,6.649897259,1
71,e223ac2dd0d0,11.107227225,0
72,21fce73fa98c,8.272918855,0
73,25cbc209afbb,83.303030269,0
74,e8ae29c5ca5a,4.109453882,0
75,8761a63e7923,14.914079569,0
76,566b16170e5a,2.963210118,1
77,faf5b8507591,23.927254061,0
78,ed4c3bf66563,28.221062884,0
79,55df81d41e5f,12.138693201,1
80,2869acd96e48,0.7176534813,1
81,c623e097064c,6.355023456,1
82,d943da81dc4e,18.95354209,1
83,71b6b920a7c6,4.965605356,0
84,17ce978a1602,7.797062477,1
85,af0f1ad0d382,6.48398763,1
86,4f8d8ac47c94,4.405284393,1
87,68c053ddda73,4.798336531,0
88,af824cc03633,5.762607663,0
89,7b2e5942e205,3.191550099,1
90,c0750ab24be1,0.008878716523,1
91,d15eff82084c,3.292996031,1
92,4fe7e6f1705d,16.210032309,1
93,5e0478e357bf,4.165395202,1
94,533fa1a05507,13.251422888,0
95,83c9d6833ffb,59.476776908,0
96,a18c2a057d80,5.105359058,0
97,d492b3655ccb,5.173055758,1
98,a1566aee6d42,2.747009708,0
99,467d2d6c5b57,4.879776541,1
100,fbeed029964b,123.680292882,0
101,56ea715ae450,36.377250293,0
102,55f247e9a0dd,1.516380213,1
103,d1a66c200351,16.174671951,1
104,279639f1d002,10.57156896,1
105,327ae4d79f59,2.869133341,1
106,215b82b09488,34.366867977,0
107,be20b70aab71,4.774561819,1
108,cc30b5886e1f,5.362171947,1
109,354b9cf7ef02,12.435498413,0
110,2b35418bf738,30.267620784,0
111,930485bbfab0,6.394778045,1
112,bbca917ab216,12.978928314,0
113,4a340903a906,7.748182289,1
114,bf950d859cf1,3.72542787,1
115,073a8f81f495,6.523478423,1
116,dfa6b6237f6a,3.942755676,0
117,5fb5004f1cca,39.845944866,1
118,7a0d0e130e9c,6.305349834,1
119,48f84ea6043f,6.129802768,1
120,d6d8fb976838,46.998665241,1
121,3b8321fe7f0e,17.501247243,0
122,68e4188549d4,37.938945266,1
123,ca0ac34440ba,8.295439778,1
124,4e112fd40171,4.089121753,1
125,b1ac350b6a4e,2.938644066,1
126,41fd8bb687b8,5.554604713,1
127,07cb12bafb24,1.366061353,0
128,73a684568d3d,3.696128234,1
129,ec289e50fea2,3.714813308,1
130,5c0615567c82,6.977362658,1
131,914c948388ae,3.251524778,1
132,58839af42ed3,26.111237618,1
133,7529596f2fed,4.245903096,1
134,c738b7bf8998,20.911173717,0
135,00238fee2b4c,4.119021003,1
136,64c50151e532,6.588528896,1
137,6b25fee98c05,12.671115978,1
138,143b90419b4e,5.552837028,1
139,6fd6748dc299,2.197170175,1
140,1897cb40eea8,0.9400717231,0
141,0a46fa622c55,5.872903346,1
142,5ef28cdc5b39,4.91927798,1
143,98c7410361f3,1.000425867,1
144,f73f5f09fd62,43.160315667,1
145,5face91e081a,2.57837258,0
146,3d549a4b4b69,8.203202899,1
147,fdb5d0d7ade5,6.057768872,1
148,693d41b8407e,38.140135476,0
149,e1f3a8d876b4,7.165161717,1
150,55bec6d011c4,4.028661097,1
151,a3693c397d81,12.056255196,1
152,2dfe1893e251,10.110020964,0
153,d8912eba4a0d,7.453538482,0
154,bb33f6b371bd,4.036846382,1
155,3e6ea6702421,9.082305407,1
156,2f4627f93dcb,2.571804556,1
157,c3aab9310a31,5.358211873,0
158,0193d52e5b14,1.222337511,1
159,6114169e6436,11.133808458,1
160,b6afb7afe424,6.903729822,1
161,62df359b8982,7.429994027,1
162,c8aa21ac9738,5.189802079,0
163,9051895a727d,12.243266997,0
164,dabbaa6c83f7,261.950839358,0
165,73a0aefd34b3,10.464270693,1
166,9820b6566612,8.629413317,1
167,5386be01384d,1.363708653,0
168,dc22707f7ecc,277.585920843,0
169,1d1e4a41d078,3.238436483,1
170,226674fce2b9,38.874838435,0
171,dd74ff4c3cf8,3.369193688,0
172,688d8763a23f,33.529472225,1
173,065a576c230e,4.979689688,1
174,426ce8652170,1.337015436,1
175,1a455b216c6e,5.994541125,0
176,6102effdcc3d,189.257577478,0
177,bf4996d25d54,1.82620263,1
178,d66518132f75,18.855302324,1
179,281d362c97c7,38.515792955,1
180,37b7d328d51f,1.859358022,1
181,7b8aa067f7dc,0.1237617742,0
182,b6d36910eb98,2.936745266,1
183,2a00d0014618,10.397099174,1
184,e801fdfd3b13,9.820527386,1
185,ae89ce58d543,46.94762608,1
186,a3dcd9073186,4.832359692,0
187,31ee25afac11,5.38214551,1
188,a961e53681e4,0.08093531078,1
189,ae244c085aee,12.451399735,0
190,9b78f35e0196,3.855461904,1
191,b659b0bc6172,25.448562517,0
192,3c26647d844c,10.075756973,0
193,30857fa417ed,4.91908351,1
194,965049afd79e,9.223428395,1
195,1a3c9e9512ea,39.186740427,0
196,cacbfe2218b2,1.186856672,1
197,b71e3f939838,24.145793363,1
198,b21b2845209a,165.196432139,0
199,76e82dec6df1,8.078335378,1
200,75b138d77ad6,0.9001109856,1
201,f957fc56adc1,3.637886738,1
202,5ff36bab1247,9.5496673,0
203,dcef788d05b6,498.63902062,0
204,dc19bf694568,4.596529154,0
205,4a13efbf5700,12.298587398,1
206,54197e1d4b14,662.044333645,0
207,265b0b21beda,4.028014858,1
208,e74d3069d3a0,41.195718984,0
209,fe44376f5c09,5.221357161,0
210,d00188e64317,10.135838774,0
211,2ac3d0641e37,2.606985069,1
212,86f83ee71cc1,8.220136575,1
213,99c67fd78a8e,15.079839516,0
214,4a36d56718a6,0.8566125471,0
215,864a936a3532,1.138637038,1
216,dc964f3dc7ea,1.608127492,1
217,01ee1fa3f6f6,5.276379252,0
218,e209f7b7bfe0,5.224099792,1
219,13937439cc1d,3.290742466,1
220,e4601657db43,10.01233141,0
221,65cb10cc4e49,1.906842655,0
222,c71b6b1b32c8,3.952164526,1
223,b09ae6bc51d9,3.911933591,1
224,124640bf2792,14.038027143,1
225,a5cae784b5f3,7.568102755,0
226,efd9d1e41645,3.24512057,1
227,e19a9ae5dcac,11.687696093,1
228,1efad6a22e1d,6.941668823,0
229,3c034be74144,126.833800718,0
230,74dd6f6d8534,11.111467247,0
231,ba2d97232907,13.352047978,0
232,60fce3eaa53d,0.8679306657,1
233,8bd5442cef6c,4.347723095,0
234,1298c65fdd33,2.29377044,1
235,3b8a97e5d597,8.735817523,1
236,d079b341029f,4.355024749,0
237,d88439bd85ec,4.168654522,1
238,cf830153793c,5.328803376,1
239,5dc5bcd84be3,9.652678935,1
240,5d2f937c3012,8.542290561,0
241,40341bd95b0a,1.800603616,1
242,5df554dd8bf1,263.837254908,0
243,c4ed3cb24e2a,14.598625688,1
244,6c468eee734c,6.783354446,0
245,d109237f6e57,35.650950169,0
246,47b705271452,5.812994014,0
247,5f9e3d4a0fa6,6.05151979,1
248,318ab1cb8ecc,2.888906621,1
249,f0ddfd5e9180,12.581269289,0
250,d2bb22a0bcf2,7.165830305,1
251,a3279dd5f1aa,5.263133726,1
252,0fb229f415da,3.312311771,1
253,6e39997df32e,5.17795514,1
254,b21592da48b2,8.843522305,1
255,6c1ec2ad4dff,3.43449329,1
256,0d6f9709edae,2.475896744,1
257,c56f47c52908,6.90885779,0
258,cfa3ef71be13,31.443041816,0
259,ee79cb988b51,3.457690284,1
260,a40c943151f1,2.809004532,1
261,085b2a38876e,24.393075621,0
262,8da5c2f12762,3.453827281,1
263,0f8bd7a29232,1.263600825,0
264,79b50932dd99,333.347970629,0
265,d3c2a73dff89,4.76171626,1
266,d436c977477b,5.525326408,1
267,caa27da5d078,7.9903188,1
268,1b31129e50ac,10.815113086,0
269,8e9ebdb230fd,34.599385905,0
270,c7bf117459b9,3.170768537,1
