Unnamed: 0,b_w,b_b,monthly_cuml,months,seed,alpha,shift,D
0,0.07,0.03,2.0,0,eb7046437af1,0.1,3,0.8
1,0.07,0.03,4.0,1,eb7046437af1,0.1,3,0.8
2,0.07,0.03,6.0,2,eb7046437af1,0.1,3,0.8
3,0.07,0.03,44.0,3,eb7046437af1,0.1,3,0.8
4,0.07,0.03,144.0,4,eb7046437af1,0.1,3,0.8
5,0.07,0.03,309.0,5,eb7046437af1,0.1,3,0.8
6,0.07,0.03,565.0,6,eb7046437af1,0.1,3,0.8
7,0.07,0.03,735.0,7,eb7046437af1,0.1,3,0.8
8,0.07,0.03,830.0,8,eb7046437af1,0.1,3,0.8
9,0.07,0.03,1023.0,9,eb7046437af1,0.1,3,0.8
10,0.07,0.03,1112.0,10,eb7046437af1,0.1,3,0.8
11,0.07,0.03,1152.0,11,eb7046437af1,0.1,3,0.8
12,0.07,0.03,1271.0,12,eb7046437af1,0.1,3,0.8
13,0.07,0.03,1365.0,13,eb7046437af1,0.1,3,0.8
0,0.07,0.03,1.0,0,e3a1cb6c45cd,0.1,3,0.8
1,0.07,0.03,1.0,1,e3a1cb6c45cd,0.1,3,0.8
2,0.07,0.03,1.0,2,e3a1cb6c45cd,0.1,3,0.8
3,0.07,0.03,1.0,3,e3a1cb6c45cd,0.1,3,0.8
4,0.07,0.03,4.0,4,e3a1cb6c45cd,0.1,3,0.8
5,0.07,0.03,5.0,5,e3a1cb6c45cd,0.1,3,0.8
6,0.07,0.03,17.0,6,e3a1cb6c45cd,0.1,3,0.8
7,0.07,0.03,48.0,7,e3a1cb6c45cd,0.1,3,0.8
8,0.07,0.03,126.0,8,e3a1cb6c45cd,0.1,3,0.8
9,0.07,0.03,270.0,9,e3a1cb6c45cd,0.1,3,0.8
10,0.07,0.03,455.0,10,e3a1cb6c45cd,0.1,3,0.8
11,0.07,0.03,658.0,11,e3a1cb6c45cd,0.1,3,0.8
12,0.07,0.03,867.0,12,e3a1cb6c45cd,0.1,3,0.8
13,0.07,0.03,1056.0,13,e3a1cb6c45cd,0.1,3,0.8
0,0.07,0.03,1.0,0,88500e2a216a,0.1,3,0.8
1,0.07,0.03,1.0,1,88500e2a216a,0.1,3,0.8
2,0.07,0.03,1.0,2,88500e2a216a,0.1,3,0.8
3,0.07,0.03,1.0,3,88500e2a216a,0.1,3,0.8
4,0.07,0.03,1.0,4,88500e2a216a,0.1,3,0.8
5,0.07,0.03,1.0,5,88500e2a216a,0.1,3,0.8
6,0.07,0.03,1.0,6,88500e2a216a,0.1,3,0.8
7,0.07,0.03,1.0,7,88500e2a216a,0.1,3,0.8
8,0.07,0.03,1.0,8,88500e2a216a,0.1,3,0.8
9,0.07,0.03,1.0,9,88500e2a216a,0.1,3,0.8
10,0.07,0.03,1.0,10,88500e2a216a,0.1,3,0.8
11,0.07,0.03,1.0,11,88500e2a216a,0.1,3,0.8
12,0.07,0.03,1.0,12,88500e2a216a,0.1,3,0.8
13,0.07,0.03,1.0,13,88500e2a216a,0.1,3,0.8
0,0.07,0.03,1.0,0,74b2584bb7f2,0.1,3,0.8
1,0.07,0.03,2.0,1,74b2584bb7f2,0.1,3,0.8
2,0.07,0.03,2.0,2,74b2584bb7f2,0.1,3,0.8
3,0.07,0.03,3.0,3,74b2584bb7f2,0.1,3,0.8
4,0.07,0.03,21.0,4,74b2584bb7f2,0.1,3,0.8
5,0.07,0.03,44.0,5,74b2584bb7f2,0.1,3,0.8
6,0.07,0.03,152.0,6,74b2584bb7f2,0.1,3,0.8
7,0.07,0.03,283.0,7,74b2584bb7f2,0.1,3,0.8
8,0.07,0.03,463.0,8,74b2584bb7f2,0.1,3,0.8
9,0.07,0.03,694.0,9,74b2584bb7f2,0.1,3,0.8
10,0.07,0.03,843.0,10,74b2584bb7f2,0.1,3,0.8
11,0.07,0.03,958.0,11,74b2584bb7f2,0.1,3,0.8
12,0.07,0.03,1112.0,12,74b2584bb7f2,0.1,3,0.8
13,0.07,0.03,1239.0,13,74b2584bb7f2,0.1,3,0.8
0,0.07,0.03,1.0,0,f522915c7802,0.1,3,0.8
1,0.07,0.03,2.0,1,f522915c7802,0.1,3,0.8
