Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
0,0.09,0.03,2.0,11.21089834360304,0,5492da8979de,0.1,3,0.4,625
1,0.09,0.03,3.0,74.92495998664809,1,5492da8979de,0.1,3,0.4,625
2,0.09,0.03,17.0,657.89994493295,2,5492da8979de,0.1,3,0.4,625
3,0.09,0.03,50.0,2128.5754654327584,3,5492da8979de,0.1,3,0.4,625
4,0.09,0.03,138.0,4055.319395298234,4,5492da8979de,0.1,3,0.4,625
5,0.09,0.03,308.0,6725.866589000433,5,5492da8979de,0.1,3,0.4,625
6,0.09,0.03,502.0,9815.065011313594,6,5492da8979de,0.1,3,0.4,625
7,0.09,0.03,685.0,13954.60587756036,7,5492da8979de,0.1,3,0.4,625
8,0.09,0.03,825.0,18780.558464966976,8,5492da8979de,0.1,3,0.4,625
9,0.09,0.03,997.0,21937.500732367465,9,5492da8979de,0.1,3,0.4,625
10,0.09,0.03,1156.0,24207.939472681683,10,5492da8979de,0.1,3,0.4,625
11,0.09,0.03,1259.0,25880.42940437189,11,5492da8979de,0.1,3,0.4,625
12,0.09,0.03,1390.0,27307.862550962494,12,5492da8979de,0.1,3,0.4,625
13,0.09,0.03,1508.0,29247.855568101542,13,5492da8979de,0.1,3,0.4,625
0,0.09,0.03,78.0,2632.7087511982327,0,7c594c644910,0.1,3,0.4,625
1,0.09,0.03,227.0,5452.628481208494,1,7c594c644910,0.1,3,0.4,625
2,0.09,0.03,546.0,9342.44118268544,2,7c594c644910,0.1,3,0.4,625
3,0.09,0.03,870.0,13664.6280556619,3,7c594c644910,0.1,3,0.4,625
4,0.09,0.03,1032.0,15976.645975736246,4,7c594c644910,0.1,3,0.4,625
5,0.09,0.03,1108.0,17681.776887617478,5,7c594c644910,0.1,3,0.4,625
6,0.09,0.03,1159.0,21448.765021995536,6,7c594c644910,0.1,3,0.4,625
7,0.09,0.03,1211.0,23593.367574420303,7,7c594c644910,0.1,3,0.4,625
8,0.09,0.03,1263.0,24610.62302534133,8,7c594c644910,0.1,3,0.4,625
9,0.09,0.03,1344.0,26001.50554393024,9,7c594c644910,0.1,3,0.4,625
10,0.09,0.03,1431.0,27345.38266824391,10,7c594c644910,0.1,3,0.4,625
11,0.09,0.03,1476.0,28200.45174449665,11,7c594c644910,0.1,3,0.4,625
12,0.09,0.03,1566.0,29130.78952681785,12,7c594c644910,0.1,3,0.4,625
