Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
0,0.08,0.03,1.0,6.24293360626107,0,214538a798d4,0.1,3,0.8,625
1,0.08,0.03,2.0,10.935871934556882,1,214538a798d4,0.1,3,0.8,625
2,0.08,0.03,2.0,23.959605256088988,2,214538a798d4,0.1,3,0.8,625
3,0.08,0.03,4.0,44.82432675718868,3,214538a798d4,0.1,3,0.8,625
4,0.08,0.03,4.0,65.85511510881129,4,214538a798d4,0.1,3,0.8,625
5,0.08,0.03,7.0,108.75927230659828,5,214538a798d4,0.1,3,0.8,625
6,0.08,0.03,11.0,179.1145200954779,6,214538a798d4,0.1,3,0.8,625
7,0.08,0.03,12.0,552.8930026028524,7,214538a798d4,0.1,3,0.8,625
8,0.08,0.03,32.0,1727.7476249948938,8,214538a798d4,0.1,3,0.8,625
9,0.08,0.03,105.0,4133.638371974834,9,214538a798d4,0.1,3,0.8,625
10,0.08,0.03,225.0,7443.282705857276,10,214538a798d4,0.1,3,0.8,625
11,0.08,0.03,458.0,10993.343945629327,11,214538a798d4,0.1,3,0.8,625
12,0.08,0.03,682.0,14457.969036192171,12,214538a798d4,0.1,3,0.8,625
13,0.08,0.03,873.0,18096.37789709348,13,214538a798d4,0.1,3,0.8,625
0,0.08,0.03,2.0,28.951038683693078,0,2be16d1a459e,0.1,3,0.8,625
1,0.08,0.03,2.0,34.964287453952416,1,2be16d1a459e,0.1,3,0.8,625
2,0.08,0.03,2.0,51.2977683492562,2,2be16d1a459e,0.1,3,0.8,625
3,0.08,0.03,9.0,136.41574802632502,3,2be16d1a459e,0.1,3,0.8,625
4,0.08,0.03,9.0,591.7936241034714,4,2be16d1a459e,0.1,3,0.8,625
5,0.08,0.03,25.0,1792.0274035092193,5,2be16d1a459e,0.1,3,0.8,625
6,0.08,0.03,107.0,3872.7946337157655,6,2be16d1a459e,0.1,3,0.8,625
7,0.08,0.03,187.0,7645.745664023558,7,2be16d1a459e,0.1,3,0.8,625
8,0.08,0.03,349.0,13641.49458138615,8,2be16d1a459e,0.1,3,0.8,625
9,0.08,0.03,626.0,17756.52307890979,9,2be16d1a459e,0.1,3,0.8,625
10,0.08,0.03,780.0,20304.087852127534,10,2be16d1a459e,0.1,3,0.8,625
11,0.08,0.03,921.0,23224.554334097124,11,2be16d1a459e,0.1,3,0.8,625
12,0.08,0.03,1163.0,25851.94874600708,12,2be16d1a459e,0.1,3,0.8,625
13,0.08,0.03,1232.0,27446.48133527916,13,2be16d1a459e,0.1,3,0.8,625
0,0.08,0.03,1.0,4.541188904195989,0,ebb9b72d301d,0.1,3,0.8,625
1,0.08,0.03,1.0,5.545109858967854,1,ebb9b72d301d,0.1,3,0.8,625
2,0.08,0.03,1.0,15.476367430785473,2,ebb9b72d301d,0.1,3,0.8,625
3,0.08,0.03,3.0,84.21957770044013,3,ebb9b72d301d,0.1,3,0.8,625
4,0.08,0.03,3.0,464.2873143795856,4,ebb9b72d301d,0.1,3,0.8,625
5,0.08,0.03,10.0,1272.4089024599011,5,ebb9b72d301d,0.1,3,0.8,625
6,0.08,0.03,38.0,2137.5228607352765,6,ebb9b72d301d,0.1,3,0.8,625
7,0.08,0.03,84.0,3806.138545730989,7,ebb9b72d301d,0.1,3,0.8,625
8,0.08,0.03,189.0,6709.169661692049,8,ebb9b72d301d,0.1,3,0.8,625
9,0.08,0.03,437.0,10136.815028290375,9,ebb9b72d301d,0.1,3,0.8,625
10,0.08,0.03,610.0,13214.881615180662,10,ebb9b72d301d,0.1,3,0.8,625
11,0.08,0.03,764.0,16647.45198371332,11,ebb9b72d301d,0.1,3,0.8,625
12,0.08,0.03,1015.0,19877.90003095028,12,ebb9b72d301d,0.1,3,0.8,625
13,0.08,0.03,1135.0,22005.10000647667,13,ebb9b72d301d,0.1,3,0.8,625
0,0.08,0.03,1.0,4.001687703393217,0,a0bd77d0399e,0.1,3,0.8,625
1,0.08,0.03,1.0,30.337145336685595,1,a0bd77d0399e,0.1,3,0.8,625
2,0.08,0.03,1.0,225.09647010053695,2,a0bd77d0399e,0.1,3,0.8,625
3,0.08,0.03,5.0,807.0774422842248,3,a0bd77d0399e,0.1,3,0.8,625
4,0.08,0.03,14.0,1650.7814012915126,4,a0bd77d0399e,0.1,3,0.8,625
5,0.08,0.03,44.0,3011.807681891664,5,a0bd77d0399e,0.1,3,0.8,625
6,0.08,0.03,130.0,5376.027732661151,6,a0bd77d0399e,0.1,3,0.8,625
7,0.08,0.03,267.0,8188.959278176097,7,a0bd77d0399e,0.1,3,0.8,625
8,0.08,0.03,463.0,11741.623136418631,8,a0bd77d0399e,0.1,3,0.8,625
9,0.08,0.03,725.0,15127.754111911188,9,a0bd77d0399e,0.1,3,0.8,625
