Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
0,0.07,0.04,1.0,7.1788819509126505,0,9658b3af7f69,0.1,3,0.8,625
1,0.07,0.04,1.0,12.344134309048323,1,9658b3af7f69,0.1,3,0.8,625
2,0.07,0.04,2.0,19.762387858811053,2,9658b3af7f69,0.1,3,0.8,625
3,0.07,0.04,2.0,22.06691024538778,3,9658b3af7f69,0.1,3,0.8,625
4,0.07,0.04,2.0,22.35704361541635,4,9658b3af7f69,0.1,3,0.8,625
5,0.07,0.04,2.0,22.39095265937013,5,9658b3af7f69,0.1,3,0.8,625
6,0.07,0.04,2.0,22.394536595163064,6,9658b3af7f69,0.1,3,0.8,625
7,0.07,0.04,2.0,22.39491120140065,7,9658b3af7f69,0.1,3,0.8,625
8,0.07,0.04,2.0,22.39495405084728,8,9658b3af7f69,0.1,3,0.8,625
9,0.07,0.04,2.0,22.394958528476792,9,9658b3af7f69,0.1,3,0.8,625
10,0.07,0.04,2.0,22.394959040637872,10,9658b3af7f69,0.1,3,0.8,625
11,0.07,0.04,2.0,22.39495909463592,11,9658b3af7f69,0.1,3,0.8,625
12,0.07,0.04,2.0,22.394959100165824,12,9658b3af7f69,0.1,3,0.8,625
13,0.07,0.04,2.0,22.394959100912047,13,9658b3af7f69,0.1,3,0.8,625
0,0.07,0.04,1.0,1.7963811004326402,0,31eb7c0492d4,0.1,3,0.8,625
1,0.07,0.04,1.0,1.7992103006077438,1,31eb7c0492d4,0.1,3,0.8,625
2,0.07,0.04,1.0,1.799506495126998,2,31eb7c0492d4,0.1,3,0.8,625
3,0.07,0.04,1.0,1.799540381177926,3,31eb7c0492d4,0.1,3,0.8,625
4,0.07,0.04,1.0,1.799543922229536,4,31eb7c0492d4,0.1,3,0.8,625
5,0.07,0.04,1.0,1.7995443272636067,5,31eb7c0492d4,0.1,3,0.8,625
6,0.07,0.04,1.0,1.7995443699670683,6,31eb7c0492d4,0.1,3,0.8,625
7,0.07,0.04,1.0,1.7995443744294293,7,31eb7c0492d4,0.1,3,0.8,625
8,0.07,0.04,1.0,1.7995443749398434,8,31eb7c0492d4,0.1,3,0.8,625
9,0.07,0.04,1.0,1.7995443749931803,9,31eb7c0492d4,0.1,3,0.8,625
10,0.07,0.04,1.0,1.799544374999281,10,31eb7c0492d4,0.1,3,0.8,625
11,0.07,0.04,1.0,1.7995443749999245,11,31eb7c0492d4,0.1,3,0.8,625
12,0.07,0.04,1.0,1.7995443749999902,12,31eb7c0492d4,0.1,3,0.8,625
13,0.07,0.04,1.0,1.7995443749999986,13,31eb7c0492d4,0.1,3,0.8,625
0,0.07,0.04,1.0,6.149797708482412,0,cdf23ba9ca82,0.1,3,0.8,625
1,0.07,0.04,1.0,6.159483297330735,1,cdf23ba9ca82,0.1,3,0.8,625
